"","","final.se"
"Telmatochromis_vittatus",2.15176220325946,0.712644917673692
"Variabilichromis_moorii",2.33214389523559,0.767794661682069
"Julidochromis_ornatus",2.14006616349627,0.709068980494118
"Neolamprologus_brevis",1.70474809223843,0.575975206236431
"Neolamprologus_fasciatus",2.70805020110221,0.882723933675051
"Neolamprologus_similis",1.6094379124341,0.546835153495953
"Neolamprologus_multifasciatus",1.38629436111989,0.478611435238962
"Neolamprologus_caudopunctatus",1.87180217690159,0.627050179
"Lamprologus_lemairii",3.2188758248682,1.03890332236458
"Neolamprologus_leloupi",1.80828877117927,0.607631644733507
"Neolamprologus_wauthioni",1.70474809223843,0.575975206236431
"Lamprologus_speciosus",1.6094379124341,0.546835153495953
"Lamprologus_ocellatus",1.75785791755237,0.592212958739503
"Lamprologus_meleagris",1.94591014905531,0.649707886933012
"Altolamprologus_calvus",2.60268968544438,0.850511099858808
"Altolamprologus_compressiceps",2.50959926237837,0.822049713642287
"Lamprologus_callipterus",2.51769647261099,0.824525347763571
"Neolamprologus_boulengeri",1.82454929205105,0.612603122457756
"Neolamprologus_hecqui",2.07944154167984,0.690533660544777
"Neolamprologus_meeli",1.94591014905531,0.649707886933012
"Lepidiolamprologus_attenuatus",2.70805020110221,0.882723933675051
"Lepidiolamprologus_profundicola",3.41772668361337,1.09969981360213
"Lepidiolamprologus_elongatus",3.48124008933569,1.11911834786862
"Lamprologus_kungweensis",2.07944154167984,0.690533660544777
"Lamprologus_laparogramma",1.38879124131848,0.479374829252307
"Lamprologus_signatus",1.70474809223843,0.575975206236431
"Lamprologus_ornatipinnis",2.05412373369555,0.682793015616291
