"","x"
"Nicotiana otophora",44
"Nicotiana setchellii",26
"Nicotiana tomentosa",16
"Nicotiana kawakamii",4
"Nicotiana tabacum",29
"Nicotiana tomentosiformis",5
"Nicotiana plumbaginifolia",17
"Nicotiana longiflora",14
"Nicotiana forgetiana",41
"Nicotiana bonariensis",21
"Nicotiana langsdorffii",58
"Nicotiana alata",40
"Nicotiana fragrans",10
"Nicotiana umbratica",21
"Nicotiana simulans",12
"Nicotiana megalosiphon",57
"Nicotiana ingulba",19
"Nicotiana occidentalis",26
"Nicotiana debneyi",37
"Nicotiana rotundifolia",26
"Nicotiana maritima",58
"Nicotiana excelsior",24
"Nicotiana benthamiana",9
"Nicotiana gossei",19
"Nicotiana velutina",9
"Nicotiana goodspeedii",8
"Nicotiana rosulata",6
"Nicotiana exigua",15
"Nicotiana suaveolens",8
"Nicotiana cavicola",12
"Nicotiana amplexicaulis",14
"Nicotiana africana",15
"Nicotiana sylvestris",24
"Nicotiana nudicaulis",16
"Nicotiana repanda",9
"Nicotiana stocktonii",14
"Nicotiana nesophila",34
"Nicotiana clevelandii",18
"Nicotiana bigelovii",3
"Nicotiana miersii",2
"Nicotiana pauciflora",7
"Nicotiana attenuata",4
"Nicotiana acuminata",2
"Nicotiana paniculata",48
"Nicotiana rustica",13
"Nicotiana knightiana",17
"Nicotiana solanifolia",9
"Nicotiana cordifolia",4
"Nicotiana raimondii",22
"Nicotiana benavidesii",42
"Nicotiana wigandioides",9
"Nicotiana thyrsiflora",5
"Nicotiana glutinosa",6
"Nicotiana undulata",8
"Nicotiana arentsii",30
"Nicotiana spegazzinii",3
"Nicotiana petunioides",11
"Nicotiana noctiflora",2
"Nicotiana glauca",18
